57 2358 Ranger Lane,"$1,250,000","$3,491",$438,4,3,townhouse,,freehold strata,"corner unit,end unit",electric,garden,"exercise room, golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",riverwood,17 days,1026,r2764600,rebgv,,,built in 2015 (8 yrs old),,1
230 2109 Rowland Street,"$565,000","$1,481",$372,2,2,apt/condo,,freehold strata,"inside unit,upper unit","baseboard,electric",elevator,"bike room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,17 days,325,r2764526,rebgv,,,built in 1994 (29 yrs old),,0
3503 2180 Kelly Avenue,"$524,900","$1,405",$305,1,1,apt/condo,,freehold strata,1 storey,baseboard,elevator,"bike room, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,17 days,254,r2764611,rebgv,,,built in 2021 (2 yrs old),,0
1077 Glade Court,"$1,375,000","$4,129",,4,2,house,,freehold nonstrata,"2 storey,basement entry",forced air,drapes/window coverings,storage,washer/dryer/fridge/stove/dishwasher,birchland manor,22 days,1266,r2763376,rebgv,63.00 feet,63 ft x 103 ft (6504 ft²),built in 1975 (48 yrs old),103.24,1
750 Victoria Drive,"$3,250,000",,,2,2,house,,freehold,,forced air,,,,oxford heights,23 days,165,r2762753,canadian real estate association,,,built in 1960 (63 yrs old),,
16 2560 Pitt River Road,"$898,000","$2,697",$237,2,2,townhouse,,freehold strata,"3 storey,inside unit","baseboard,electric",,"air conditioning, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,24 days,1135,r2762616,rebgv,,,built in 2019 (4 yrs old),,1
3848 Killarney Street,"$1,598,000",,,6,4,house,,freehold,,baseboard heaters,,,,lincoln park,26 days,1392,r2762079,canadian real estate association,50 ft,,built in 1971 (52 yrs old),,
501 2331 Kelly Avenue,"$669,000",$0,$258,2,2,apt/condo,,freehold strata,upper unit,"baseboard,electric","elevator, smoke alarm, sprinkler - inground","recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,26 days,468,r2762371,rebgv,,,built in 2023 (0 yrs old),,0
4501 2180 Kelly Avenue,"$799,000","$2,092",$507,3,2,apt/condo,,freehold strata,"corner unit,upper unit","baseboard,electric,radiant","elevator, garden","bike room, storage",in suite laundry,central port coquitlam,29 days,849,r2761642,rebgv,,,built in 2021 (2 yrs old),,0
108 2340 Hawthorne Avenue,"$499,900","$1,449",$303,1,1,apt/condo,,freehold strata,ground level unit,"baseboard,electric",elevator,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,30 days,765,r2761263,rebgv,,,built in 1993 (30 yrs old),,0
1631 Manning Avenue,"$2,250,000","$4,956",,4,2,house,,freehold nonstrata,2 storey,forced air,"drapes/window coverings, fireplace insert, garage door opener, garden",shopping nearby,"in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,45 days,298,r2757503,rebgv,66.00 feet,66 ft x 122 ft (8052 ft²),built in 1971 (52 yrs old),122,1
2351 Hawthorne Avenue,"$1,850,000","$3,949",,4,2,house,,freehold nonstrata,rancher/bungalow w/bsmt.,,,shopping nearby,,central port coquitlam,50 days,203,r2756508,rebgv,0.00 feet,4026 ft²,built in 1976 (47 yrs old),,0
214 2628 Maple Street,"$689,900","$2,089",$482,2,2,apt/condo,,freehold strata,inside unit,baseboard,"smoke alarm, sprinkler - fire","exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,51 days,1408,r2756118,rebgv,,,built in 2008 (15 yrs old),,0
302 2436 Kelly Avenue,"$539,988","$1,711",$285,1,1,apt/condo,,freehold strata,other,"baseboard,electric",,bike room,,central port coquitlam,55 days,795,r2754848,rebgv,,,built in 2019 (4 yrs old),,0
1144 Settlers Court,"$1,849,900","$5,217",,6,3,house,,freehold nonstrata,2 storey w/bsmt.,mixed,"cul-de-sac, oven - built in, storage shed, vacuum - roughed in",recreation nearby,washer/dryer/fridge/stove/dishwasher,citadel,2 days,125,r2769131,rebgv,0.00 feet,0 ft x 0 ft (5737 ft²),built in 1989 (34 yrs old),0,1
108 1650 Grant Avenue,"$645,000","$1,672",$429,2,2,apt/condo,,freehold strata,1 storey,"electric,natural gas","drapes/window coverings, elevator, intercom","recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,3 days,83,r2768524,rebgv,,,built in 1995 (28 yrs old),,0
3664 Hughes Place,"$1,499,000","$5,726",,5,2,house,,freehold nonstrata,2 storey,forced air,cul-de-sac,shopping nearby,"clothes washer/dryer, dishwasher, range top, refrigerator",woodland acres,3 days,310,r2768489,rebgv,48.35 feet,48 ft x 0 ft (8625 ft²),built in 1975 (48 yrs old),irregular,1
1604 Pitt River Road,"$1,589,000","$4,262",,5,2,house,,freehold nonstrata,"2 storey,split entry",forced air,,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,mary hill,9 days,207,r2766768,rebgv,75.00 feet,75 ft x 118 ft (8744 ft²),built in 1972 (51 yrs old),118,1
57 2358 Ranger Lane,"$1,250,000","$3,491",$438,4,3,townhouse,,freehold strata,"corner unit,end unit",electric,garden,"exercise room, golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",riverwood,17 days,1026,r2764600,rebgv,,,built in 2015 (8 yrs old),,1
4067 Sefton Street,"$1,350,000","$5,511",,0,,land/lot,,freehold nonstrata,,,,,,oxford heights,72 days,864,r2751217,rebgv,73.66 feet,73 ft x 262 ft (19090 ft²),,262.50,
2279 Kelly Avenue,"$9,500,000","$25,262",,0,,land/lot,,freehold nonstrata,,,,,,central port coquitlam,79 days,294,r2749728,rebgv,140.00 feet,140 ft x 122 ft (17061 ft²),,122.88,
36 2358 Ranger Lane,"$1,320,000","$3,511",$441,4,3,townhouse,,freehold strata,"3 storey,corner unit","baseboard,electric","garden, security system, smoke alarm, sprinkler - fire","exercise room, hot tub, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",riverwood,79 days,1735,r2749470,rebgv,,,built in 2015 (8 yrs old),,1
2349 Hawthorne Avenue,"$1,850,000","$3,905",,4,2,house,,freehold nonstrata,split entry,"forced air,natural gas",,"golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,central port coquitlam,87 days,372,r2747623,rebgv,33.00 feet,33 ft x 122 ft (4026 ft²),built in 1978 (45 yrs old),122,0
24 1260 Riverside Drive,"$1,168,000","$3,041",$268,4,2,townhouse,,freehold strata,3 storey,"electric,forced air,natural gas","cul-de-sac, smoke alarm, sprinkler - fire","air conditioning, golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,riverwood,94 days,1680,r2746159,rebgv,,,built in 2002 (21 yrs old),,1
309 2351 Kelly Avenue,"$670,000","$1,875",$316,2,2,apt/condo,,freehold strata,"corner unit,upper unit","baseboard,electric","drapes/window coverings, elevator, smoke alarm, sprinkler - fire","golf course nearby, marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,98 days,817,r2745572,rebgv,,,built in 2014 (9 yrs old),,0
957 Mansfield Crescent,"$1,630,000","$4,259",,4,3,house,,freehold nonstrata,3 level split,,,,,oxford heights,150 days,1092,r2739208,rebgv,0.00 feet,8116 ft²,built in 1982 (41 yrs old),,0
2035 Suffolk Avenue,"$1,298,000",$0,,7,3,house,,freehold nonstrata,3 storey,"electric,natural gas",,,washer/dryer/fridge/stove/dishwasher,glenwood,168 days,3492,r2735548,rebgv,33.00 feet,33 ft x 122 ft (4026 ft²),,122,1
1938 Salisbury Avenue,"$1,860,000","$3,928",,5,2,house,,freehold nonstrata,split entry,"forced air,natural gas",,shopping nearby,"microwave, stove, washer/dryer/fridge/stove/dishwasher",glenwood,238 days,518,r2718771,rebgv,148.00 feet,148 ft x 60 ft (8924 ft²),built in 1959 (64 yrs old),60,0
3271 Oxford Street,"$1,860,000","$3,780",,4,3,house,,freehold nonstrata,rancher/bungalow w/bsmt.,"forced air,natural gas",,"recreation nearby, shopping nearby","in suite laundry, microwave, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",glenwood,238 days,675,r2718770,rebgv,61.00 feet,61 ft x 146 ft (8924 ft²),built in 1919 (104 yrs old),146,0
4415 2180 Kelly Avenue,"$799,000","$1,697",$444,2,2,apt/condo,,freehold strata,"inside unit,upper unit","baseboard,electric","drapes/window coverings, elevator, garage door opener, sprinkler - fire","bike room, central air conditioning, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,252 days,1907,r2716178,rebgv,,,built in 2021 (2 yrs old),,0
1197 Fraserview Street,"$2,688,888","$4,609",,6,6,house,,freehold nonstrata,"2 storey w/bsmt.,carriage/coach house","forced air,natural gas","security system, vacuum - built in, wet bar","air conditioning, golf course nearby, recreation nearby",washer/dryer/fridge/stove/dishwasher,citadel,2 days,17,r2769438,rebgv,69.00 feet,69 ft x 0 ft (0 ft²),built in 2022 (1 yrs old),0.00,2
2327 Stafford Avenue,"$1,399,000","$4,527",,4,3,house,,freehold nonstrata,basement entry,"forced air,natural gas",cul-de-sac,air conditioning,"compactor - garbage, microwave, washer/dryer/fridge/stove/dishwasher",mary hill,2 days,95,r2769391,rebgv,39.00 feet,39 ft x 142 ft (5616 ft²),built in 1990 (33 yrs old),142,0
D 3374 Sefton Street,"$849,000","$2,788",$350,4,2,townhouse,,freehold strata,"3 level split,3 storey","forced air,natural gas",fireplace insert,"golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,2 days,97,r2769287,rebgv,,,built in 1990 (33 yrs old),,1
7 1750 Salisbury Avenue,"$1,198,000",$0,$435,4,3,townhouse,,freehold strata,3 storey,"forced air,heat pump,natural gas",garage door opener,"air conditioning, central air conditioning, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,2 days,21,r2769377,rebgv,,,built in 2023 (0 yrs old),,1
1076 Prairie Avenue,"$1,199,000","$3,312",,3,2,house,,freehold nonstrata,rancher/bungalow,"baseboard,hot water",drapes/window coverings,,washer/dryer/fridge/stove/dishwasher,birchland manor,2 days,89,r2769264,rebgv,139.99 feet,6027 ft²,built in 1987 (36 yrs old),,0
1075 Prairie Avenue,"$2,488,800","$6,595",,8,6,house,,freehold nonstrata,2 storey w/bsmt.,"hot water,natural gas,radiant","drapes/window coverings, garage door opener, pantry, security system, sprinkler - fire, vacuum - built in, wet bar","air conditioning, central air conditioning, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",birchland manor,2 days,38,r2768999,rebgv,55.00 feet,55 ft x 121 ft (6781 ft²),built in 2019 (4 yrs old),121,1
3816 Liverpool Street,"$1,799,999","$4,578",,4,4,house,,freehold nonstrata,2 storey,forced air,"cul-de-sac, garden, storage shed",shopping nearby,"in suite laundry, washer/dryer/fridge/stove/dishwasher",oxford heights,3 days,148,r2768882,rebgv,68.00 feet,68 ft x 121 ft (8414 ft²),built in 1972 (51 yrs old),121.00,0
3512 Pearkes Place,"$1,100,000","$4,269",,5,2,house,,freehold nonstrata,"2 storey,basement entry","baseboard,natural gas",garden,"recreation nearby, shopping nearby, workshop attached","in suite laundry, washer/dryer/fridge/stove/dishwasher",lincoln park,3 days,422,r2768563,rebgv,0.00 feet,6243 ft²,built in 1975 (48 yrs old),,0
1180 Lynwood Avenue,"$1,429,800","$4,485",,6,3,house,,freehold nonstrata,2 storey,forced air,"garden, smoke alarm, storage shed","air conditioning, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",oxford heights,3 days,241,r2768548,rebgv,52.00 feet,52 ft x 103 ft (5382 ft²),built in 1988 (35 yrs old),103.5,0
1144 Settlers Court,"$1,849,900","$5,217",,6,3,house,,freehold nonstrata,2 storey w/bsmt.,mixed,"cul-de-sac, oven - built in, storage shed, vacuum - roughed in",recreation nearby,washer/dryer/fridge/stove/dishwasher,citadel,2 days,125,r2769131,rebgv,0.00 feet,0 ft x 0 ft (5737 ft²),built in 1989 (34 yrs old),0,1
108 1650 Grant Avenue,"$645,000","$1,672",$429,2,2,apt/condo,,freehold strata,1 storey,"electric,natural gas","drapes/window coverings, elevator, intercom","recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,3 days,83,r2768524,rebgv,,,built in 1995 (28 yrs old),,0
3664 Hughes Place,"$1,499,000","$5,726",,5,2,house,,freehold nonstrata,2 storey,forced air,cul-de-sac,shopping nearby,"clothes washer/dryer, dishwasher, range top, refrigerator",woodland acres,3 days,310,r2768489,rebgv,48.35 feet,48 ft x 0 ft (8625 ft²),built in 1975 (48 yrs old),irregular,1
750 Victoria Drive,"$3,250,000",,,2,2,house,,freehold,,forced air,,,,oxford heights,23 days,165,r2762753,canadian real estate association,,,built in 1960 (63 yrs old),,
305 2288 Welcher Avenue,"$624,900","$1,694",$312,1,1,apt/condo,,freehold strata,corner unit,"baseboard,electric","drapes/window coverings, smoke alarm, sprinkler - fire","bike room, shopping nearby, wheelchair access","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,3 days,65,r2768863,rebgv,,,built in 2016 (7 yrs old),,0
Ph2 2485 Atkins Avenue,"$599,000","$2,026",$506,2,2,apt/condo,,freehold strata,"1 storey,upper unit","baseboard,electric,natural gas","elevator, fireplace insert, garage door opener, sprinkler - fire","bike room, recreation nearby, shopping nearby","disposal - waste, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,7 days,315,r2767816,rebgv,,,built in 1995 (28 yrs old),,0
1507 2180 Kelly Avenue,"$454,900",$0,$313,1,1,apt/condo,,freehold strata,1 storey,electric,"drapes/window coverings, elevator, garage door opener, garden, sprinkler - fire","air conditioning, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,7 days,129,r2767988,rebgv,,,built in 2022 (1 yrs old),,0
306 2356 Welcher Avenue,"$739,800","$2,367",$382,2,2,apt/condo,,freehold strata,corner unit,"baseboard,electric",elevator,"exercise room, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,7 days,75,r2767882,rebgv,,,built in 2021 (2 yrs old),,0
1446 Pitt River Road,"$1,349,000","$4,436",,4,2,house,,freehold nonstrata,"2 storey,basement entry","forced air,natural gas",storage shed,"recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",lower mary hill,7 days,195,r2767876,rebgv,48.46 feet,48 ft x 173 ft (8644 ft²),built in 1983 (40 yrs old),173.25,1
409 1655 Grant Avenue,"$559,900","$1,477",$392,2,1,apt/condo,,freehold strata,"corner unit,upper unit","baseboard,electric",,storage,"in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,7 days,182,r2767668,rebgv,,,built in 1994 (29 yrs old),,0
2163-A Pitt River Road,"$2,338,000","$3,178",,5,5,house,,freehold nonstrata,2 storey w/bsmt.,"electric,forced air","drapes/window coverings, security system, smoke alarm, sprinkler - fire","recreation nearby, shopping nearby",in suite laundry,central port coquitlam,7 days,45,r2766479,rebgv,33.00 feet,33 ft x 172 ft (5676 ft²),built in 2023 (0 yrs old),172,1
2722 St. Michael Street,"$1,129,000","$3,487",$0,5,3,duplex,,freehold strata,basement entry,"forced air,natural gas","storage shed, windows - thermo","golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,glenwood,8 days,726,r2767242,rebgv,59.00 feet,59 ft x 61 ft (3599 ft²),built in 1995 (28 yrs old),61,0
206 2388 Welcher Avenue,"$622,800","$1,714",$426,2,2,apt/condo,,freehold strata,"inside unit,upper unit","baseboard,electric","drapes/window coverings, elevator, garage door opener, intercom, smoke alarm","bike room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,8 days,131,r2767248,rebgv,,,built in 1994 (29 yrs old),,0
202 2627 Shaughnessy Street,"$689,900","$2,283",$491,2,2,apt/condo,,freehold strata,inside unit,"baseboard,electric","drapes/window coverings, elevator, fireplace insert, intercom, smoke alarm, sprinkler - fire","bike room, exercise room, recreation nearby, shopping nearby, storage","disposal - waste, in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,8 days,195,r2767366,rebgv,,,built in 2008 (15 yrs old),,0
3516 2180 Kelly Avenue,"$549,900","$1,467",$321,1,1,apt/condo,,freehold strata,upper unit,electric,"elevator, garden, humidifier, intercom, smoke alarm, sprinkler - fire","exercise room, shopping nearby","disposal - waste, in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,8 days,85,r2767146,rebgv,,,built in 2021 (2 yrs old),,0
12 2183 Prairie Avenue,"$1,088,000","$3,319",$461,3,3,townhouse,,freehold strata,3 storey,"baseboard,electric",smoke alarm,"recreation nearby, shopping nearby","disposal - waste, in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,9 days,748,r2767085,rebgv,,,built in 2014 (9 yrs old),,1
