4313 Rockridge Road,"$7,600,000","$27,277",,5,4,house,,freehold nonstrata,2 storey w/bsmt.,radiant,"drapes/window coverings, garage door opener, hot tub spa/swirlpool, security system, smoke alarm, sprinkler - inground","air conditioning, marina nearby, recreation nearby, shopping nearby, swimming pool equipment","microwave, washer/dryer/fridge/stove/dishwasher",rockridge,3 days,98,r2768858,rebgv,95.00 feet,95 ft x 135 ft (12633 ft²),built in 2014 (9 yrs old),135,3
2117 Gordon Avenue,"$2,299,000","$4,392",$449,3,3,townhouse,,freehold strata,2 storey w/bsmt.,"electric,forced air,natural gas",,"recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",dundarave,3 days,247,r2768802,rebgv,,,built in 2004 (19 yrs old),,1
6275 Taylor Drive,"$4,998,000","$13,680",,3,3,house,,freehold nonstrata,3 storey,"electric,natural gas",vacuum - built in,"golf course nearby, marina nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,gleneagles,3 days,178,r2768643,rebgv,90.70 feet,90 ft x 169 ft (9900 ft²),built in 1981 (42 yrs old),169.20 irr,1
2296 Jefferson Avenue,"$3,158,000","$7,231",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",drapes/window coverings,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,dundarave,3 days,119,r2768678,rebgv,60.00 feet,60 ft x 132 ft (7920 ft²),built in 1945 (78 yrs old),132,0
1666 Marlowe Place,"$6,298,000","$19,409",,4,4,house,,freehold nonstrata,2 storey,,cul-de-sac,,,canterbury,3 days,56,r2768732,rebgv,105.00 feet,12454 ft²,built in 1998 (25 yrs old),,1
4940 Meadfeild Road,"$4,895,000","$15,944",,3,3,house,,freehold nonstrata,2 storey,"heat recovery ventilator, hot water,natural gas,radiant","cul-de-sac, drapes/window coverings, garage door opener, garden, heat recovery ventilator, security system, smoke alarm, sprinkler - fire","recreation nearby, sauna, shopping nearby, storage","disposal - waste, washer/dryer/fridge/stove/dishwasher",caulfeild,3 days,75,r2768492,rebgv,0.00 feet,12925 ft²,built in 2006 (17 yrs old),,1
6240 St. Georges Avenue,"$2,549,000","$5,993",,4,3,house,,freehold nonstrata,3 level split,"forced air,natural gas,radiant","garden, oven - built in, pantry, security system, storage shed, windows - thermo","golf course nearby, guest suite, marina nearby, recreation nearby, sauna, shopping nearby, storage","clothes washer/dryer, dishwasher, refrigerator, washer/dryer/fridge/stove/dishwasher",gleneagles,5 days,279,r2768368,rebgv,96.40 feet,96 ft x 218 ft (16780 ft²),built in 1968 (55 yrs old),218.90,1
845 Jefferson Avenue,"$2,450,000","$5,548",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,sentinel hill,5 days,322,r2768340,rebgv,122.00 feet,122 ft x 131 ft (15572 ft²),built in 1955 (68 yrs old),131.00,0
730 Greenwood Road,"$3,980,000","$8,504",,5,4,house,,freehold nonstrata,2 storey,mixed,garden,"golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",british properties,5 days,258,r2768357,rebgv,92.00 feet,92 ft x 193 ft (18850 ft²),built in 1974 (49 yrs old),193,0
4738 Rutland Road,"$2,550,000","$6,556",,4,3,house,,freehold nonstrata,2 storey,"forced air,natural gas","drapes/window coverings, fireplace insert, garage door opener, security system, smoke alarm, storage shed","recreation nearby, swimming pool equipment","microwave, washer/dryer/fridge/stove/dishwasher",caulfeild,5 days,469,r2768306,rebgv,0.00 feet,0 ft x 0 ft (13940 ft²),built in 1965 (58 yrs old),0.0,0
2755 Highview Place,"$4,208,000","$11,971",$849,3,3,duplex,,freehold strata,3 storey,"forced air,heat pump,natural gas","elevator, oven - built in, security system, smoke alarm","air conditioning, central air conditioning, recreation nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",chelsea park,5 days,187,r2768312,rebgv,,0 ft²,built in 2015 (8 yrs old),,1
4313 Rockridge Road,"$7,600,000","$27,277",,5,4,house,,freehold nonstrata,2 storey w/bsmt.,radiant,"drapes/window coverings, garage door opener, hot tub spa/swirlpool, security system, smoke alarm, sprinkler - inground","air conditioning, marina nearby, recreation nearby, shopping nearby, swimming pool equipment","microwave, washer/dryer/fridge/stove/dishwasher",rockridge,3 days,98,r2768858,rebgv,95.00 feet,95 ft x 135 ft (12633 ft²),built in 2014 (9 yrs old),135,3
2117 Gordon Avenue,"$2,299,000","$4,392",$449,3,3,townhouse,,freehold strata,2 storey w/bsmt.,"electric,forced air,natural gas",,"recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",dundarave,3 days,247,r2768802,rebgv,,,built in 2004 (19 yrs old),,1
2296 Jefferson Avenue,"$3,158,000","$7,231",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",drapes/window coverings,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,dundarave,3 days,119,r2768678,rebgv,60.00 feet,60 ft x 132 ft (7920 ft²),built in 1945 (78 yrs old),132,0
75 Sunset Drive,"$2,550,000","$5,490",,4,3,house,,freehold nonstrata,"2 storey,split entry","heat recovery ventilator, forced air,heat pump,wood","drapes/window coverings, fireplace insert, garage door opener, garden, heat recovery ventilator, jetted bathtub, smoke alarm, storage shed","air conditioning, central air conditioning, golf course nearby, guest suite, marina nearby, recreation nearby, storage, workshop detached","free standing fireplace or woodstove, in suite laundry, washer/dryer/fridge/stove/dishwasher",lions bay,30 days,3246,r2761426,rebgv,75.81 feet,75 ft x 317 ft (23522 ft²),built in 1983 (40 yrs old),317.4,1
845 Jefferson Avenue,"$2,450,000","$5,548",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,sentinel hill,5 days,322,r2768340,rebgv,122.00 feet,122 ft x 131 ft (15572 ft²),built in 1955 (68 yrs old),131.00,0
4770 Meadfeild Court,"$2,198,000","$6,047",,3,2,house,,freehold nonstrata,2 storey,,cul-de-sac,"recreation nearby, shopping nearby",,caulfeild,6 days,475,r2768114,rebgv,59.00 feet,5297 ft²,built in 1984 (39 yrs old),,1
1130 Eyremount Drive,"$6,480,000","$14,566",,5,7,house,,freehold nonstrata,3 storey,radiant,,recreation nearby,washer/dryer/fridge/stove/dishwasher,british properties,7 days,344,r2767792,rebgv,127.00 feet,127 ft x 131 ft (14955 ft²),built in 1989 (34 yrs old),131 irr,1
1049 Millstream Road,"$13,288,000","$36,944",,6,8,house,,freehold nonstrata,3 storey,"hot water,radiant","elevator, hot tub spa/swirlpool, vacuum - built in, wet bar","air conditioning, central air conditioning, golf course nearby, hot tub, recreation nearby, sauna, swimming pool equipment",washer/dryer/fridge/stove/dishwasher,british properties,7 days,396,r2767645,rebgv,105.00 feet,105 ft x 197 ft (20451 ft²),built in 2020 (3 yrs old),197,3
572 St. Giles Road,"$2,498,000","$5,829",,4,3,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas",,golf course nearby,washer/dryer/fridge/stove/dishwasher,glenmore,8 days,521,r2767516,rebgv,129.30 feet,129 ft x 112 ft (12963 ft²),built in 1966 (57 yrs old),112.65,1
514 Ballantree Place,"$2,890,000","$6,047",$0,4,3,house,,freehold nonstrata,2 storey,forced air,,"golf course nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,glenmore,8 days,171,r2767415,rebgv,93.00 feet,93 ft x 180 ft (14294 ft²),built in 1967 (56 yrs old),180 irr,0
780 Westcot Place,"$6,680,000","$18,582",,6,7,house,,freehold nonstrata,2 storey w/bsmt.,"natural gas,radiant","drapes/window coverings, garage door opener, hot tub spa/swirlpool, intercom, smoke alarm, sprinkler - fire",air conditioning,"microwave, washer/dryer/fridge/stove/dishwasher",british properties,8 days,204,r2767327,rebgv,111.00 feet,111 ft x 169 ft (20910 ft²),built in 2017 (6 yrs old),169.00,1
2391 Kings Avenue,"$2,798,000","$6,999",,3,1,house,,freehold nonstrata,1 1/2 storey,forced air,"drapes/window coverings, smoke alarm","marina nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,dundarave,8 days,264,r2767280,rebgv,45.41 feet,45 ft x 132 ft (5993 ft²),built in 1955 (68 yrs old),132,0
1860 Queens Avenue,"$3,250,000","$8,691",,6,2,house,,freehold nonstrata,3 storey,"forced air,natural gas","oven - built in, security system, storage shed","recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,ambleside,8 days,522,r2767277,rebgv,91.00 feet,91 ft x 132 ft (12012 ft²),built in 1964 (59 yrs old),132,2
1479 Chippendale Road,"$9,680,000","$34,470",,6,7,house,,freehold nonstrata,2 storey w/bsmt.,"hot water,natural gas,radiant","drapes/window coverings, fireplace insert, garage door opener, security system","air conditioning, golf course nearby, marina nearby, recreation nearby, shopping nearby, swimming pool equipment",washer/dryer/fridge/stove/dishwasher,chartwell,8 days,121,r2767207,rebgv,99.00 feet,99 ft x 135 ft (13347 ft²),built in 2010 (13 yrs old),135.00,1
201 2471 Bellevue Avenue,"$2,298,000","$5,360","$1,061",2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric",elevator,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",dundarave,8 days,243,r2767214,rebgv,,,built in 1986 (37 yrs old),,1
5051 Meadfeild Road,"$6,180,000","$29,587",,5,7,house,,freehold nonstrata,2 storey,"forced air,radiant",hot tub spa/swirlpool,"hot tub, shopping nearby",washer/dryer/fridge/stove/dishwasher,upper caulfeild,8 days,270,r2767136,rebgv,258.00 feet,28546 ft²,built in 1997 (26 yrs old),,0
4772 Meadfeild Court,"$2,898,000","$4,831",,3,3,house,,freehold nonstrata,3 storey,"forced air,natural gas","cul-de-sac, drapes/window coverings, garage door opener, storage shed, vaulted ceiling, windows - thermo","marina nearby, recreation nearby, shopping nearby, storage, workshop attached","freezer, microwave, range top, washer/dryer/fridge/stove/dishwasher",caulfeild,8 days,422,r2766923,rebgv,100.00 feet,4954 ft²,built in 1985 (38 yrs old),,1
6330 Argyle Avenue,"$2,299,900","$4,379",,8,4,house,,freehold nonstrata,3 storey,"forced air,natural gas",,"golf course nearby, marina nearby",washer/dryer/fridge/stove/dishwasher,horseshoe bay,9 days,204,r2766951,rebgv,55.00 feet,55 ft x 233 ft (11028 ft²),built in 1960 (63 yrs old),233,2
5612 Westhaven Court,"$3,850,000","$7,592",,8,4,house,,freehold nonstrata,3 storey w/bsmt,"heat pump,natural gas,radiant","cul-de-sac, drapes/window coverings, fireplace insert, garden, hot tub spa/swirlpool, security system, storage shed, vacuum - built in","air conditioning, central air conditioning, golf course nearby, hot tub, swimming pool equipment","in suite laundry, washer/dryer/fridge/stove/dishwasher",eagle harbour,9 days,377,r2766995,rebgv,127.00 feet,26745 ft²,built in 1993 (30 yrs old),,0
2291 Orchard Lane,"$5,880,000","$23,773",,5,4,house,,freehold nonstrata,2 storey w/bsmt.,"heat recovery ventilator, hot water,natural gas","garage door opener, garden, heat recovery ventilator, pantry, security system, wet bar","air conditioning, central air conditioning, golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",queens,9 days,329,r2766721,rebgv,108.00 feet,108 ft x 119 ft (12012 ft²),built in 2005 (18 yrs old),119,2
477 Craigmohr Drive,"$2,185,000","$5,548",,5,3,house,,freehold nonstrata,2 storey,natural gas,,,"freezer, washer/dryer/fridge/stove/dishwasher",glenmore,9 days,483,r2766547,rebgv,174.00 feet,12830 ft²,built in 1967 (56 yrs old),,0
552 Ballantree Road,"$3,390,000","$7,139",,4,3,house,,freehold nonstrata,4 level split,"hot water,natural gas",,,washer/dryer/fridge/stove/dishwasher,glenmore,9 days,204,r2766576,rebgv,86.00 feet,86 ft x 182 ft (21759 ft²),built in 1971 (52 yrs old),182,1
4875 Water Lane,"$2,898,000","$7,572",,5,3,house,,freehold nonstrata,1 storey,"electric,forced air,radiant",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,olde caulfeild,9 days,1077,r2766456,rebgv,106.13 feet,106 ft x 296 ft (17860 ft²),built in 1964 (59 yrs old),296.20 irr,0
915 Sinclair Street,"$7,998,000","$23,766",,5,6,house,,freehold nonstrata,3 storey,"hot water,natural gas,radiant",,"air conditioning, central air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,ambleside,9 days,227,r2766462,rebgv,67.40 feet,67 ft x 264376 ft (16554 ft²),built in 2017 (6 yrs old),264376 irr,1
4650 Cherbourg Drive,"$2,998,000","$6,657",,3,3,house,,freehold nonstrata,2 storey,"forced air,natural gas","garden, hot tub spa/swirlpool","hot tub, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",caulfeild,9 days,242,r2766459,rebgv,154.80 feet,154 ft x 111 ft (13840 ft²),built in 1964 (59 yrs old),111.06 irr,0
4313 Rockridge Road,"$7,600,000","$27,277",,5,4,house,,freehold nonstrata,2 storey w/bsmt.,radiant,"drapes/window coverings, garage door opener, hot tub spa/swirlpool, security system, smoke alarm, sprinkler - inground","air conditioning, marina nearby, recreation nearby, shopping nearby, swimming pool equipment","microwave, washer/dryer/fridge/stove/dishwasher",rockridge,3 days,98,r2768858,rebgv,95.00 feet,95 ft x 135 ft (12633 ft²),built in 2014 (9 yrs old),135,3
2117 Gordon Avenue,"$2,299,000","$4,392",$449,3,3,townhouse,,freehold strata,2 storey w/bsmt.,"electric,forced air,natural gas",,"recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",dundarave,3 days,247,r2768802,rebgv,,,built in 2004 (19 yrs old),,1
2296 Jefferson Avenue,"$3,158,000","$7,231",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",drapes/window coverings,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,dundarave,3 days,119,r2768678,rebgv,60.00 feet,60 ft x 132 ft (7920 ft²),built in 1945 (78 yrs old),132,0
5327 Aspen Drive,"$3,289,000","$5,248",,3,2,townhouse,,freehold nonstrata,split entry,"baseboard,forced air,natural gas","drapes/window coverings, garage door opener, garden, security system, smoke alarm, storage shed","air conditioning, central air conditioning, golf course development, marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher, wine cooler",upper caulfeild,16 days,648,r2765101,rebgv,,,built in 1988 (35 yrs old),,1
501 1737 Duchess Avenue,"$689,888","$1,801",$721,2,1,apt/condo,,freehold strata,"corner unit,inside unit","hot water,natural gas","cul-de-sac, drapes/window coverings, elevator, garden","recreation nearby, shared laundry, shopping nearby","dishwasher, microwave, refrigerator, stove",ambleside,35 days,1273,r2760201,rebgv,,,built in 1980 (43 yrs old),,0
530 Craigmohr Drive,"$4,380,000","$5,786",,8,4,house,,freehold nonstrata,2 storey w/bsmt.,radiant,"drapes/window coverings, garage door opener, pantry",,"range top, washer/dryer/fridge/stove/dishwasher",glenmore,9 days,162,r2766364,rebgv,0.00 feet,13583 ft²,built in 1995 (28 yrs old),,1
3325 Marine Drive,"$4,998,000","$7,682",,4,4,house,,freehold nonstrata,3 storey,radiant,"drapes/window coverings, garage door opener","air conditioning, central air conditioning","microwave, washer/dryer/fridge/stove/dishwasher",west bay,9 days,1931,r2766807,rebgv,50.00 feet,50 ft x 101 ft (5075 ft²),built in 2022 (1 yrs old),101,1
527 Craigmohr Drive,"$2,198,000","$5,341",,3,3,house,,freehold nonstrata,1 1/2 storey,"forced air,natural gas,wood","drapes/window coverings, garage door opener, garden, smoke alarm, windows - thermo","golf course nearby, recreation nearby, shopping nearby, workshop attached","freezer, in suite laundry, washer/dryer/fridge/stove/dishwasher",glenmore,10 days,564,r2766273,rebgv,90.00 feet,90 ft x 132 ft (11894 ft²),built in 1965 (58 yrs old),132,0
8446 Citrus Wynd,"$3,999,000","$12,834",,4,5,house,,freehold nonstrata,3 storey,geothermal,"drapes/window coverings, wet bar","air conditioning, recreation nearby","disposal - waste, washer/dryer/fridge/stove/dishwasher",howe sound,13 days,545,r2766101,rebgv,0.00 feet,16451 ft²,built in 2001 (22 yrs old),,1
4589 Woodgreen Drive,"$3,990,800","$7,008",,4,4,house,,freehold nonstrata,2 storey,mixed,garage door opener,"air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,cypress park estates,14 days,596,r2766039,rebgv,163.00 feet,163 ft x 166 ft (17538 ft²),built in 2024 (-1 yrs old),166,1
203 522 15th Street,"$2,788,000","$6,847","$1,586",3,3,apt/condo,,freehold strata,"corner unit,end unit","heat pump,radiant","elevator, security system, vacuum - built in","air conditioning, central air conditioning, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",ambleside,14 days,374,r2766035,rebgv,,,built in 2016 (7 yrs old),,1
2517 Marine Drive,"$2,599,000","$6,662",$0,3,2,duplex,,freehold strata,2 storey w/bsmt.,natural gas,,"recreation nearby, shopping nearby, storage",,dundarave,14 days,622,r2765714,rebgv,30.00 feet,30 ft x 132 ft (3960 ft²),built in 1998 (25 yrs old),132,1
501 2288 Bellevue Avenue,"$8,875,000","$30,290","$3,255",3,4,apt/condo,,freehold strata,"other,upper unit","forced air,heat pump,natural gas",elevator,"air conditioning, central air conditioning, golf course nearby, marina nearby, recreation nearby, sauna, shopping nearby, storage","clothes washer/dryer, dishwasher, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",dundarave,14 days,331,r2765606,rebgv,,,built in 1999 (24 yrs old),,1
5747 Telegraph Trail,"$3,298,000","$5,428",,6,3,house,,freehold nonstrata,2 storey w/bsmt.,"baseboard,forced air,natural gas","hot tub spa/swirlpool, smoke alarm","marina nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",eagle harbour,14 days,573,r2765697,rebgv,50.00 feet,50 ft x 132 ft (8276 ft²),built in 1940 (83 yrs old),132,1
885 Braeside Street,"$4,498,000","$10,456",,4,2,house,,freehold nonstrata,2 storey,"hot water,natural gas",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,sentinel hill,14 days,470,r2765427,rebgv,81.00 feet,81 ft x 114 ft (9234 ft²),built in 1996 (27 yrs old),114,1
602 1327 Bellevue Avenue,"$12,880,000","$26,599","$1,892",3,3,apt/condo,,freehold strata,penthouse,"heat pump,radiant","drapes/window coverings, elevator, garage door opener, intercom","air conditioning, central air conditioning, exercise room, marina nearby, recreation nearby, shopping nearby","disposal - waste, in suite laundry, washer/dryer/fridge/stove/dishwasher, wine cooler",ambleside,14 days,510,r2765405,rebgv,,,built in 2020 (3 yrs old),,1
4254 Rockridge Road,"$5,828,000","$16,066",,4,4,house,,freehold nonstrata,2 storey w/bsmt.,,,,,rockridge,15 days,681,r2765274,rebgv,100.00 feet,100 ft x 173 ft (14811 ft²),built in 1992 (31 yrs old),173,1
6239 Wellington Avenue,"$2,950,000","$7,267",,3,3,house,,freehold nonstrata,2 storey,"forced air,heat pump","cul-de-sac, garden","air conditioning, golf course nearby, recreation nearby, sauna","in suite laundry, washer/dryer/fridge/stove/dishwasher",horseshoe bay,16 days,1376,r2765228,rebgv,0.00 feet,5102 ft²,built in 1990 (33 yrs old),,1
137 Stevens Drive,"$6,388,000","$21,863",,6,5,house,,freehold nonstrata,3 storey,"forced air,radiant","garden, hot tub spa/swirlpool, security system, wet bar","central air conditioning, golf course nearby, hot tub, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,british properties,16 days,762,r2765155,rebgv,108.00 feet,108 ft x 166 ft (14456 ft²),built in 2018 (5 yrs old),166,2
2198 Rosebery Avenue,"$4,388,000","$11,446",,5,4,house,,freehold nonstrata,3 storey,forced air,"drapes/window coverings, garden","air conditioning, central air conditioning, golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,queens,16 days,135,r2765142,rebgv,47.00 feet,6107 ft²,built in 1991 (32 yrs old),,1
9 5110 Alderfeild Place,"$3,898,000","$7,359","$1,102",3,2,duplex,,freehold strata,reverse 2 storey,"hot water,radiant","cul-de-sac, drapes/window coverings, garage door opener, oven - built in, security system, smoke alarm, sprinkler - inground, vacuum - built in, vaulted ceiling","golf course nearby, marina nearby, recreation nearby, shopping nearby","washer/dryer/fridge/stove/dishwasher, wine cooler",upper caulfeild,16 days,435,r2764871,rebgv,,0 ft²,built in 1997 (26 yrs old),,1
550 Southborough Drive,"$6,998,000","$19,068",,6,4,house,,freehold nonstrata,2 storey w/bsmt.,,,,,british properties,16 days,364,r2764570,rebgv,169.98 feet,30717 ft²,built in 1940 (83 yrs old),,1
494 Craigmohr Drive,"$3,850,000","$6,057",,4,3,house,,freehold nonstrata,2 storey,"forced air,natural gas",hot tub spa/swirlpool,"air conditioning, golf course nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,glenmore,16 days,227,r2764653,rebgv,82.00 feet,82 ft x 143 ft (12227 ft²),built in 1969 (54 yrs old),143,1
79 Desswood Place,"$2,880,000","$6,698",,4,3,house,,freehold nonstrata,rancher/bungalow w/bsmt.,"forced air,natural gas,radiant",cul-de-sac,"golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,glenmore,16 days,428,r2764550,rebgv,80.00 feet,80 ft x 0 ft (18780 ft²),built in 1955 (68 yrs old),irregular,0
4751 Headland Drive,"$2,998,000","$7,651",,4,2,house,,freehold nonstrata,3 storey,"forced air,natural gas",,"air conditioning, central air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,caulfeild,16 days,287,r2764533,rebgv,116.26 feet,116 ft x 73 ft (8308 ft²),built in 1997 (26 yrs old),73.25 irr,1
4313 Rockridge Road,"$7,600,000","$27,277",,5,4,house,,freehold nonstrata,2 storey w/bsmt.,radiant,"drapes/window coverings, garage door opener, hot tub spa/swirlpool, security system, smoke alarm, sprinkler - inground","air conditioning, marina nearby, recreation nearby, shopping nearby, swimming pool equipment","microwave, washer/dryer/fridge/stove/dishwasher",rockridge,3 days,98,r2768858,rebgv,95.00 feet,95 ft x 135 ft (12633 ft²),built in 2014 (9 yrs old),135,3
2117 Gordon Avenue,"$2,299,000","$4,392",$449,3,3,townhouse,,freehold strata,2 storey w/bsmt.,"electric,forced air,natural gas",,"recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",dundarave,3 days,247,r2768802,rebgv,,,built in 2004 (19 yrs old),,1
2296 Jefferson Avenue,"$3,158,000","$7,231",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",drapes/window coverings,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,dundarave,3 days,119,r2768678,rebgv,60.00 feet,60 ft x 132 ft (7920 ft²),built in 1945 (78 yrs old),132,0
5132 Alderfeild Place,"$4,398,000","$10,566",,4,3,house,,freehold nonstrata,2 storey,"baseboard,forced air","cul-de-sac, drapes/window coverings, garage door opener, pantry, security system, smoke alarm, storage shed, vacuum - built in","golf course nearby, marina nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",caulfeild,16 days,1090,r2764786,rebgv,73.00 feet,73 ft x 175 ft (10365 ft²),built in 1980 (43 yrs old),175,0
558 Craigmohr Drive,"$6,998,000","$29,758",,5,6,house,,freehold nonstrata,3 storey,radiant,"drapes/window coverings, garage door opener, hot tub spa/swirlpool, security system, smoke alarm, sprinkler - fire, vacuum - built in","air conditioning, golf course nearby, marina nearby, recreation nearby, shopping nearby","washer/dryer/fridge/stove/dishwasher, wine cooler",glenmore,31 days,1293,r2760962,rebgv,130.00 feet,130 ft x 120 ft (15594 ft²),built in 2021 (2 yrs old),120,1
